,candle_size,percent_candle_size,parkinson_volatility,shortterm_momentum,momentum,longterm_momentum,extralongterm_momentum,percent2MA_shortterm,percent2MA_longterm
703W9Q,0.001999999999981128,1.5754730357641263e-05,,,,,,,
R4JXAN,-0.028999999999996362,-0.00022834645669288475,,-0.07741666666666447,,,,-0.0003863336282762845,
07KW1J,0.09899999999998954,0.0007791655844921614,,-0.022666666666665947,,,,0.00029916313050595334,
I1IIGE,-0.054000000000002046,-0.00042524372765503324,,0.006416666666666515,,,,-8.596009220690723e-05,
J866PE,-0.014999999999986358,-0.00011810093693399227,,0.10700000000001353,0.045166666666659694,,,0.0009719960069354469,
UT4BZE,0.016999999999995907,0.0001338656461379439,,0.10066666666665469,0.05122222222222206,,,0.000748632760169464,
Z490DP,0.007999999999981355,6.29856786311744e-05,,0.09466666666666868,0.05838888888889926,,,0.0008063414685395558,
E2MAFD,-0.07800000000000296,-0.0006143135046585673,,-0.031999999999996476,-0.0017777777777894244,,,-0.0006873483308191788,
IQ7VCB,-0.02199999999999136,-0.00017318334605961728,,0.09308333333332541,-0.0676388888889079,,,0.0009409289654443297,
7LSO8C,-0.05000000000001137,-0.00039371938831764784,,0.06050000000001887,-0.02155555555555111,,,0.00031638797830716776,
R0QFC8,-0.05000000000001137,-0.0003936976874198736,,-0.020833333333314386,0.02549999999999386,,,0.0001666931363118333,
WVC08W,0.011000000000024102,8.664555665850704e-05,,0.00041666666665207686,0.021361111111119158,,,-0.00015160673606459435,
BBMBTE,0.0759999999999934,0.0005982367758185879,,0.05558333333331689,-0.028222222222211713,,,0.0010946846395453126,
8331T1,-0.022999999999996135,-0.00018119938234642278,,-0.03725000000001444,-0.12675000000000125,0.11951973684212192,,-0.0009333552843454095,-0.000678052836947448
REXB2Y,-0.03900000000001569,-0.0003070745246251383,,0.024666666666647075,-0.13108333333332212,0.09094462719298235,,0.00040172030814301024,-0.00015933513213378043
VIMDNH,-0.018000000000000682,-0.00014177023770143728,,0.022750000000016257,-0.11655555555556418,0.08829184941519941,,5.5792326520385685e-05,-0.00047346443805358927
5HJGK3,0.0,0.0,,0.017166666666682318,-0.05211111111113098,0.07355281432747063,,0.00034521457776859983,-0.00010378575842369275
YSO8O4,-0.007000000000005002,-5.5120714364497556e-05,,0.02008333333333212,-0.011027777777769643,0.06920376461988553,,1.1155507112870909e-05,-0.00031834652014622763
S50XU7,-0.03700000000000614,-0.0002913018832273583,,-0.004916666666673564,0.0028333333333279143,0.06390570175439336,,0.00014501588284816683,-0.00016169888126015726
U2XVKZ,-0.018000000000000682,-0.00014175572338733715,,-0.00541666666666174,0.0037499999999965894,0.06195467836256796,,-0.00013714297713120932,-0.00045743413560696435
K3ZFOG,-0.006000000000000227,-4.724037477364167e-05,,0.005083333333331552,0.011916666666678566,0.04912682748540931,,0.00014239751480247848,-0.0002358728429453513
