,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL
C5C4T0,2,C:USDJPY,2022-05-27 00:35:00+00:00,126.9396527,2022-05-31 00:05:00+00:00,128,-1,1,-1.0603473000000037
XFCV0G,2,C:USDJPY,2022-05-27 01:30:00+00:00,126.97965070000001,2022-05-31 00:05:00+00:00,128,-1,1,-1.0203492999999924
Z08Y81,2,C:USDJPY,2022-05-27 06:50:00+00:00,126.98665034999999,2022-05-31 00:05:00+00:00,128,-1,1,-1.0133496500000092
VXJO98,2,C:USDJPY,2022-05-27 11:05:00+00:00,126.96465145,2022-05-31 00:05:00+00:00,128,-1,1,-1.0353485499999948
T4K4O0,2,C:USDJPY,2022-05-27 13:00:00+00:00,126.9876503,2022-05-31 00:05:00+00:00,128,-1,1,-1.0123497000000015
100G9J,2,C:USDJPY,2022-05-27 13:40:00+00:00,126.94765229999999,2022-05-31 00:05:00+00:00,128,-1,1,-1.0523477000000128
6FPUN5,2,C:USDJPY,2022-05-30 01:40:00+00:00,126.9256534,2022-05-31 00:05:00+00:00,128,-1,1,-1.0743465999999984
082I9F,2,C:USDJPY,2022-05-30 02:45:00+00:00,126.9596517,2022-05-31 00:05:00+00:00,128,-1,1,-1.040348300000005
OFESB3,2,C:USDJPY,2022-05-30 03:35:00+00:00,126.9876503,2022-05-31 00:05:00+00:00,128,-1,1,-1.0123497000000015
9JYYPW,2,C:USDJPY,2022-05-30 03:55:00+00:00,126.97265105,2022-05-31 00:05:00+00:00,128,-1,1,-1.027348950000004
R92FXS,2,C:USDJPY,2022-05-30 04:35:00+00:00,126.96465145,2022-05-31 00:05:00+00:00,128,-1,1,-1.0353485499999948
5HS4AX,2,C:USDJPY,2022-05-30 05:05:00+00:00,126.98465045,2022-05-31 00:05:00+00:00,128,-1,1,-1.0153495499999963
989U7I,2,C:USDJPY,2022-05-30 05:35:00+00:00,126.97865075,2022-05-31 00:05:00+00:00,128,-1,1,-1.02134925
62TO7D,2,C:USDJPY,2022-05-27 00:55:00+00:00,127.00635000000001,2022-05-31 00:10:00+00:00,128,1,1,0.9936499999999882
G14PQN,2,C:USDJPY,2022-05-27 01:10:00+00:00,127.06535295,2022-05-31 00:10:00+00:00,128,1,1,0.9346470499999953
8UBMGE,2,C:USDJPY,2022-05-27 06:45:00+00:00,127.01635050000002,2022-05-31 00:10:00+00:00,128,1,1,0.9836494999999843
1JER37,2,C:USDJPY,2022-05-27 06:55:00+00:00,127.01935065000002,2022-05-31 00:10:00+00:00,128,1,1,0.9806493499999789
1R6A00,2,C:USDJPY,2022-05-27 12:40:00+00:00,127.03935165000001,2022-05-31 00:10:00+00:00,128,1,1,0.9606483499999854
3LHJHX,2,C:USDJPY,2022-05-27 13:35:00+00:00,127.00735005000001,2022-05-31 00:10:00+00:00,128,1,1,0.9926499499999863
1OJ7J2,2,C:USDJPY,2022-05-27 14:50:00+00:00,127.04635200000001,2022-05-31 00:10:00+00:00,128,1,1,0.953647999999987
Y04ANY,2,C:USDJPY,2022-05-30 02:40:00+00:00,127.01135025,2022-05-31 00:10:00+00:00,128,1,1,0.9886497499999933
R6K4AR,2,C:USDJPY,2022-05-30 03:15:00+00:00,127.02435090000002,2022-05-31 00:10:00+00:00,128,1,1,0.9756490999999841
21LXRU,2,C:USDJPY,2022-05-30 03:50:00+00:00,127.02235080000001,2022-05-31 00:10:00+00:00,128,1,1,0.9776491999999877
NLSATM,2,C:USDJPY,2022-05-30 04:25:00+00:00,127.01635050000002,2022-05-31 00:10:00+00:00,128,1,1,0.9836494999999843
OV6RAA,2,C:USDJPY,2022-05-30 04:50:00+00:00,127.00134975000002,2022-05-31 00:10:00+00:00,128,1,1,0.998650249999983
